"STATISTIC","Statistic Label","C02199V02655","Sex","C03367V04052","County and City","TLIST(A1)","CensusYear","C02076V03371","Age Group","UNIT","VALUE"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","205","0 - 4 years","Number","30250"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","245","5 - 9 years","Number","24686"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","265","10 - 14 years","Number","25093"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","300","15 - 19 years","Number","29214"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","365","20 - 24 years","Number","47406"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","410","25 - 29 years","Number","62411"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","440","30 - 34 years","Number","56889"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","460","35 - 39 years","Number","41783"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","475","40 - 44 years","Number","35007"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","495","45 - 49 years","Number","32287"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","515","50 - 54 years","Number","28915"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","530","55 - 59 years","Number","24666"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","550","60 - 64 years","Number","22515"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","565","65 - 69 years","Number","18459"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","580","70 - 74 years","Number","16433"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","595","75 - 79 years","Number","13793"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","610","80 - 84 years","Number","9912"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2011","2011","630","85 years and over","Number","7893"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","-","All ages","Number","554554"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","205","0 - 4 years","Number","30683"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","245","5 - 9 years","Number","27937"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","265","10 - 14 years","Number","24593"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","300","15 - 19 years","Number","28781"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","365","20 - 24 years","Number","44484"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","410","25 - 29 years","Number","60867"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","440","30 - 34 years","Number","58889"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","460","35 - 39 years","Number","49561"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","475","40 - 44 years","Number","38021"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","495","45 - 49 years","Number","34093"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","515","50 - 54 years","Number","31743"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","530","55 - 59 years","Number","28792"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","550","60 - 64 years","Number","23755"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","565","65 - 69 years","Number","20984"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","580","70 - 74 years","Number","17027"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","595","75 - 79 years","Number","14161"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","610","80 - 84 years","Number","10857"
"E2022","Population 2011 to 2016","-","Both sexes","DC","Dublin City","2016","2016","630","85 years and over","Number","9326"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","-","All ages","Number","206261"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","205","0 - 4 years","Number","13155"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","245","5 - 9 years","Number","12050"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","265","10 - 14 years","Number","12330"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","300","15 - 19 years","Number","13676"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","365","20 - 24 years","Number","15257"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","410","25 - 29 years","Number","15809"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","440","30 - 34 years","Number","16242"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","460","35 - 39 years","Number","14728"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","475","40 - 44 years","Number","14128"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","495","45 - 49 years","Number","14329"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","515","50 - 54 years","Number","13032"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","530","55 - 59 years","Number","11487"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","550","60 - 64 years","Number","10166"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","565","65 - 69 years","Number","8891"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","580","70 - 74 years","Number","7470"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","595","75 - 79 years","Number","5948"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","610","80 - 84 years","Number","4154"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2011","2011","630","85 years and over","Number","3409"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","-","All ages","Number","218018"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","205","0 - 4 years","Number","13810"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","245","5 - 9 years","Number","13744"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","265","10 - 14 years","Number","12485"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","300","15 - 19 years","Number","14190"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","365","20 - 24 years","Number","15622"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","410","25 - 29 years","Number","13759"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","440","30 - 34 years","Number","15740"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","460","35 - 39 years","Number","16787"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","475","40 - 44 years","Number","15209"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","495","45 - 49 years","Number","14319"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","515","50 - 54 years","Number","14039"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","530","55 - 59 years","Number","12558"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","550","60 - 64 years","Number","11087"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","565","65 - 69 years","Number","9765"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","580","70 - 74 years","Number","8631"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","595","75 - 79 years","Number","6930"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","610","80 - 84 years","Number","4957"
"E2022","Population 2011 to 2016","-","Both sexes","DR","Dún Laoghaire-Rathdown","2016","2016","630","85 years and over","Number","4386"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","-","All ages","Number","273991"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","205","0 - 4 years","Number","26708"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","245","5 - 9 years","Number","22052"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","265","10 - 14 years","Number","17647"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","300","15 - 19 years","Number","15648"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","365","20 - 24 years","Number","16971"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","410","25 - 29 years","Number","24007"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","440","30 - 34 years","Number","28976"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","460","35 - 39 years","Number","26448"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","475","40 - 44 years","Number","20881"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","495","45 - 49 years","Number","17185"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","515","50 - 54 years","Number","14664"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","530","55 - 59 years","Number","12418"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","550","60 - 64 years","Number","10525"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","565","65 - 69 years","Number","7861"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","580","70 - 74 years","Number","4956"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","595","75 - 79 years","Number","3355"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","610","80 - 84 years","Number","2015"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2011","2011","630","85 years and over","Number","1674"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","-","All ages","Number","296020"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","205","0 - 4 years","Number","24899"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","245","5 - 9 years","Number","26260"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","265","10 - 14 years","Number","21454"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","300","15 - 19 years","Number","17750"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","365","20 - 24 years","Number","15757"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","410","25 - 29 years","Number","18840"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","440","30 - 34 years","Number","25525"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","460","35 - 39 years","Number","28983"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","475","40 - 44 years","Number","26029"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","495","45 - 49 years","Number","20428"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","515","50 - 54 years","Number","16743"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","530","55 - 59 years","Number","14321"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","550","60 - 64 years","Number","11996"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","565","65 - 69 years","Number","10133"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","580","70 - 74 years","Number","7395"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","595","75 - 79 years","Number","4538"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","610","80 - 84 years","Number","2810"
"E2022","Population 2011 to 2016","-","Both sexes","FL","Fingal","2016","2016","630","85 years and over","Number","2159"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","-","All ages","Number","265205"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","205","0 - 4 years","Number","23043"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","245","5 - 9 years","Number","20105"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","265","10 - 14 years","Number","18133"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","300","15 - 19 years","Number","16684"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","365","20 - 24 years","Number","18095"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","410","25 - 29 years","Number","23054"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","440","30 - 34 years","Number","25066"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","460","35 - 39 years","Number","21342"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","475","40 - 44 years","Number","18129"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","495","45 - 49 years","Number","16350"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","515","50 - 54 years","Number","15317"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","530","55 - 59 years","Number","14322"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","550","60 - 64 years","Number","12512"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","565","65 - 69 years","Number","8436"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","580","70 - 74 years","Number","6092"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","595","75 - 79 years","Number","4200"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","610","80 - 84 years","Number","2609"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2011","2011","630","85 years and over","Number","1716"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","-","All ages","Number","278767"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","205","0 - 4 years","Number","21733"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","245","5 - 9 years","Number","22765"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","265","10 - 14 years","Number","19590"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","300","15 - 19 years","Number","18027"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","365","20 - 24 years","Number","16120"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","410","25 - 29 years","Number","18103"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","440","30 - 34 years","Number","23272"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","460","35 - 39 years","Number","25213"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","475","40 - 44 years","Number","20951"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","495","45 - 49 years","Number","17697"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","515","50 - 54 years","Number","15824"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","530","55 - 59 years","Number","14819"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","550","60 - 64 years","Number","13728"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","565","65 - 69 years","Number","11864"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","580","70 - 74 years","Number","7913"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","595","75 - 79 years","Number","5396"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","610","80 - 84 years","Number","3347"
"E2022","Population 2011 to 2016","-","Both sexes","SD","South Dublin","2016","2016","630","85 years and over","Number","2405"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","-","All ages","Number","210312"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","205","0 - 4 years","Number","18914"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","245","5 - 9 years","Number","17340"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","265","10 - 14 years","Number","15314"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","300","15 - 19 years","Number","13218"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","365","20 - 24 years","Number","13046"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","410","25 - 29 years","Number","16244"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","440","30 - 34 years","Number","18850"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","460","35 - 39 years","Number","18798"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","475","40 - 44 years","Number","16564"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","495","45 - 49 years","Number","14289"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","515","50 - 54 years","Number","12073"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","530","55 - 59 years","Number","10322"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","550","60 - 64 years","Number","8684"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","565","65 - 69 years","Number","6336"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","580","70 - 74 years","Number","3987"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","595","75 - 79 years","Number","2770"
"E2022","Population 2011 to 2016","-","Both sexes","KE","Kildare","2011","2011","610","80 - 84 years","Number","1870"
